New CS TEAM
-------------------------------------------------------------------------------------------------------------------
| Aaliyah         | Scott           | Team G               |            | Desert Eagle    |    19 |    12 |       | 
| Mia             | Green           | Team H               |            | AK-47           |    22 |    13 |       | 
| Emily           | Miller          | Team E               |            | AK-47           |    23 |    14 |       | 
| William         | Lopez           | Team G               |            | AK-47           |    20 |    13 |       | 
| Abigail         | Johnson         | Team E               |            | AWP             |    27 |    10 |       | 
| Liam            | Smith           | Team E               |            | Desert Eagle    |    21 |    13 |       | 
| Logan           | Nelson          | Team H               |            | AWP             |    25 |     9 |       | 
| Aria            | King            | Team G               |            | AWP             |    24 |    11 |       | 
| Madison         | Garcia          | Team E               |            | P90             |    18 |    12 |       | 
| Sofia           | Wilson          | Team F               |            | AWP             |    26 |     8 |       | 
-------------------------------------------------------------------------------------------------------------------

New LOL TEAM
-------------------------------------------------------------------------------------------------------------------
| Aliyah          | Fisher          | Team A               | ADC        | Jinx            |    10 |     0 |     3 |
| Liliana         | Gonzalez        | Team C               | Mid        | Syndra          |     7 |     0 |     8 |
| Jovanny         | Robles          | Team D               | Mid        | Cassiopeia      |     8 |     1 |     6 |
| Breanna         | Pham            | Team B               | ADC        | Ashe            |     6 |     3 |     4 |
| Tiffany         | Reed            | Team D               | Top        | Darius          |     7 |     2 |     9 |
| Jayson          | Burns           | Team C               | ADC        | Ezreal          |     9 |     1 |     3 |
| Talia           | Davies          | Team D               | ADC        | Sivir           |    10 |     0 |     3 |
| Brentley        | King            | Team A               | Mid        | Zoe             |     8 |     1 |     6 |
| Kaitlyn         | Grant           | Team A               | Top        | Renekton        |     7 |     2 |     9 |
| Karter          | Pena            | Team B               | Mid        | Azir            |     6 |     3 |     4 |
-------------------------------------------------------------------------------------------------------------------

Ratas 1
-------------------------------------------------------------------------------------------------------------------
| Aaliyah         | Scott           | Team G               |            | Desert Eagle    |    19 |    12 |       | 
| Ethan           | Taylor          | Team H               |            | M4A4            |    16 |    20 |       | 
| Mia             | Green           | Team H               |            | AK-47           |    22 |    13 |       | 
| Ethan           | Davis           | Team F               |            | M4A1-S          |    19 |    18 |       | 
| Aliyah          | Fisher          | Team A               | ADC        | Jinx            |    10 |     0 |     3 |
| Sierra          | Hansen          | Team B               | Top        | Malphite        |     3 |     5 |     6 |
| Emily           | Miller          | Team E               |            | AK-47           |    23 |    14 |       | 
| Avery           | Martinez        | Team F               |            | AK-47           |    22 |    15 |       | 
| Oliver          | Hernandez       | Team G               |            | Galil AR        |    14 |    20 |       | 
| Jorge           | Haynes          | Team D               | Jungle     | Kha'Zix         |     5 |     3 |    11 |
| William         | Lopez           | Team G               |            | AK-47           |    20 |    13 |       | 
| Karter          | Pena            | Team B               | Mid        | Annie           |     5 |     4 |     4 |
| Emilia          | Beck            | Team B               | Support    | Soraka          |     1 |     1 |    11 |
| Ethan           | Erickson        | Team C               | Jungle     | Hecarim         |     2 |     5 |     8 |
| Chloe           | Thomas          | Team F               |            | USP-S           |    20 |    16 |       | 
| Emmanuel        | Acevedo         | Team B               | Jungle     | Lee Sin         |     4 |     6 |     5 |
| Abigail         | Johnson         | Team E               |            | AWP             |    27 |    10 |       | 
| Liam            | Smith           | Team E               |            | Desert Eagle    |    21 |    13 |       | 
| Liliana         | Gonzalez        | Team C               | Mid        | Syndra          |     7 |     0 |     8 |
| Noah            | Anderson        | Team F               |            | Glock-18        |    15 |    22 |       | 
