New CS TEAM
Aaliyah;Scott;Team G;19;12;Desert Eagle
Mia;Green;Team H;22;13;AK-47
Emily;Miller;Team E;23;14;AK-47
William;Lopez;Team G;20;13;AK-47
Abigail;Johnson;Team E;27;10;AWP
Liam;Smith;Team E;21;13;Desert Eagle
Logan;Nelson;Team H;25;9;AWP
Aria;King;Team G;24;11;AWP
Madison;Garcia;Team E;18;12;P90
Sofia;Wilson;Team F;26;8;AWP

New LOL TEAM
Aliyah;Fisher;Team A;ADC;Jinx;10;0;3
Liliana;Gonzalez;Team C;Mid;Syndra;7;0;8
Jovanny;Robles;Team D;Mid;Cassiopeia;8;1;6
Breanna;Pham;Team B;ADC;Ashe;6;3;4
Tiffany;Reed;Team D;Top;Darius;7;2;9
Jayson;Burns;Team C;ADC;Ezreal;9;1;3
Talia;Davies;Team D;ADC;Sivir;10;0;3
Brentley;King;Team A;Mid;Zoe;8;1;6
Kaitlyn;Grant;Team A;Top;Renekton;7;2;9
Karter;Pena;Team B;Mid;Azir;6;3;4

